hlnum,ctermfg,ctermbg,guifg,guibg
1,red,,red,
2,green,,green,
3,blue,,blue,
4,black,magenta,black,IndianRed
5,black,green,black,chartreuse
6,black,cyan,black,DeepSkyBlue
7,white,DarkRed,white,firebrick
8,white,DarkGreen,white,DarkGreen
9,white,DarkBlue,white,DarkSlateBlue
11,,,black,thistle
12,,,black,burlywood
13,,,black,PowderBlue
14,,,black,peru
15,,,black,DarkSeaGreen
16,,,black,SteelBlue
17,,,black,DarkOrange
18,,,black,DarkOliveGreen
19,,,black,SlateGray
21,,,red,grey20
22,,,green,grey20
23,,,CornflowerBlue,grey20
24,,,red,grey40
25,,,green,grey40
26,,,blue,grey40
27,,,red,grey70
28,,,DarkGreen,grey70
29,,,blue,grey70

31,,,DarkSlateGrey,PeachPuff
32,,,red,PeachPuff
33,,,RoyalBlue4,PeachPuff

34,,,black,DarkGreen 
35,,,LightYellow,DarkGreen
36,,,PaleTurquoise1,DarkGreen

37,,,LemonChiffon,DarkSlateGrey 
38,,,DeepSkyBlue,DarkSlateGrey
39,,,LawnGreen,DarkSlateGrey

41,,,yellow,DarkKhaki 
42,,,MidnightBlue,DarkKhaki
43,,,firebrick,DarkKhaki

44,,,DarkGreen,khaki 
45,,,MidnightBlue,khaki
46,,,firebrick,khaki

47,,,yellow,goldenrod 
48,,,MidnightBlue,goldenrod
49,,,firebrick,goldenrod

51,,,yellow,firebrick 
52,,,MidnightBlue,firebrick
53,,,green1,firebrick

54,,,yellow,OrangeRed 
55,,,MidnightBlue,OrangeRed
56,,,green1,OrangeRed

57,,,yellow,PaleVioletRed 
58,,,MidnightBlue,PaleVioletRed
59,,,green1,PaleVioletRed

61,,,chartreuse1,DeepSkyBlue1 
62,,,white,DeepSkyBlue1
63,,,red,DeepSkyBlue1

64,,,chartreuse1,SlateBlue1 
65,,,white,SlateBlue1
66,,,NavajoWhite1,SlateBlue1

67,,,brown,LightSkyBlue1 
68,,,red,LightSkyBlue1
69,,,MidnightBlue,LightSkyBlue1

71,,,black,LemonChiffon 
72,,,black,LavenderBlush
73,,,black,honeydew

74,,,red,LemonChiffon 
75,,,red,LavenderBlush
76,,,red,honeydew

77,,,blue,LemonChiffon 
78,,,blue,LavenderBlush
79,,,blue,honeydew

81,,,black,wheat 
82,,,red,wheat
83,,,SeaGreen,wheat

84,,,black,SandyBrown 
85,,,yellow,SandyBrown
86,,,red,SandyBrown

87,,,black,chocolate 
88,,,yellow,chocolate
89,,,white,chocolate

91,,,DarkBlue,
92,,,DarkRed,
93,,,DarkGreen,

94,,,firebrick,
95,,,brown,
96,,,red,

94,,,DeepPink,
95,,,magenta,
96,,,purple,

97,,,DarkCyan,
98,,,yellow,
99,,,black,
